Unnamed: 0.1,Unnamed: 0,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
0.0,0.0,1899490458658623578,Tue Mar 11 15:59:50 +0000 2025,9151,Everyone is fasting for Ramadan at my work and this is my lunch https://t.co/5GVH8LJtlT,1899490458658623578,https://pbs.twimg.com/media/GlxYgMHWoAA4SY8.jpg,,en,North,18,74,103,https://x.com/magnum_cartel/status/1899490458658623578,1599306704256225281,magnum_cartel
1.0,1.0,1899166900363333645,Mon Mar 10 18:34:08 +0000 2025,16663,Do not forget your mother in every prayer this Ramadan... https://t.co/KVaANWgELv,1899166900363333645,https://pbs.twimg.com/ext_tw_video_thumb/1899166875667296257/pu/img/yzJjkdBKPbPJxZOq.jpg,,en,,37,41,2539,https://x.com/7signxx/status/1899166900363333645,372705607,7signxx
2.0,2.0,1897724527146111472,Thu Mar 06 19:02:39 +0000 2025,802,Iftar à Paris - « #Ramadan le mois de la fraternité et de la tolérance face à la dictature religieuse et l extrémisme » Ni contrainte en religion ni religion obligatoire https://t.co/mcX3bpw5nm https://t.co/I8LLimXe6l,1897724527146111472,https://pbs.twimg.com/media/GlYSNNoWgAAkt8c.jpg,,fr,"Auvers sur Oise, France",90,1,823,https://x.com/Maryam_Rajavi_F/status/1897724527146111472,2221964862,Maryam_Rajavi_F
3.0,3.0,1897638172114206796,Thu Mar 06 13:19:31 +0000 2025,53064,Non muslims think Ramadan is a hard time for us. They don't know that this is actually our favourite time of the whole year.,1897638172114206796,,,en,Emirates stadium ,319,1248,8887,https://x.com/lebrazill/status/1897638172114206796,2364478344,lebrazill
4.0,4.0,1899241255059546545,Mon Mar 10 23:29:36 +0000 2025,61774,I fight in the name of Jesus Christ. Christians are being slaughtered in Syria while the Vatican &amp; some cardinals celebrate ramadan. Islam is the biggest threat to humanity. https://t.co/4dUEL5Vaev,1899241255059546545,https://pbs.twimg.com/amplify_video_thumb/1899241147613982720/img/_BzQwfKPZqpivrIo.jpg,,en,Texas 31st CD,741,3792,14268,https://x.com/ValentinaForUSA/status/1899241255059546545,1686551250538528769,ValentinaForUSA
5.0,5.0,1899394030414307833,Tue Mar 11 09:36:40 +0000 2025,1044,I/3 of Ramadan is over; our resolve against fascism in Pakistan stands vindicated. Insha Allah it is a matter of time that this junta of #gen_asim_munir_Butcher_of_Pakistan will fall on its own weight of crimes against people of Pakistan and humanity at large. We have https://t.co/LX3A0y7uWX,1899394030414307833,https://pbs.twimg.com/amplify_video_thumb/1899393977645678592/img/qg5w_npCCwijtNUO.jpg,,en,,8,40,588,https://x.com/SyedAHussain15/status/1899394030414307833,787400819519975424,SyedAHussain15
6.0,6.0,1899246623932231961,Mon Mar 10 23:50:56 +0000 2025,39205,im not even feeling hungry or thirsty this Ramadan just extremely exhausted and sleepy like never before,1899246623932231961,,,en,seldn,1436,133,16063,https://x.com/fv2zz/status/1899246623932231961,1614315413004849158,fv2zz
7.0,7.0,1899628358410912042,Wed Mar 12 01:07:48 +0000 2025,25, Respecting women is the first step toward achieving true gender equality. Good Morning Ramadan Kareem https://t.co/k8brS6nulx,1899628358410912042,https://pbs.twimg.com/ext_tw_video_thumb/1899628296238731264/pu/img/xOJT8DtKsGgS0rjw.jpg,,en,Heart-Pakistan Soul_ Madina,0,25,6,https://x.com/iamkhaani/status/1899628358410912042,706019652556726272,iamkhaani
8.0,8.0,1898399386310455738,Sat Mar 08 15:44:18 +0000 2025,7855,A rare video of Afghanistan players breaking fast during and international match in a month of Ramadan last year. #Respect https://t.co/1NhgJjsFoH,1898399386310455738,https://pbs.twimg.com/amplify_video_thumb/1898399315741089792/img/7jOiFu_-oMotVjlp.jpg,,en,"Sri Lanka, Kandy",9,248,453,https://x.com/nibraz88cricket/status/1898399386310455738,976314541221986305,nibraz88cricket
9.0,9.0,1897930815201571024,Fri Mar 07 08:42:22 +0000 2025,3235,Packed Mataaf on the first Friday of Ramadan 2025. https://t.co/wTIADlVK9j,1897930815201571024,https://pbs.twimg.com/media/GlbOAxzboAA7p3Z.jpg,,en,,18,10,392,https://x.com/theholymosques/status/1897930815201571024,1247167916618858496,theholymosques
10.0,10.0,1899464536375398788,Tue Mar 11 14:16:50 +0000 2025,11294,ज़िंदगी की हिफ़ाज़त से बढ़कर कोई इबादत नहीं बलिया के एक नेक नीयत ट्रैफिक सब-इंस्पेक्टर ने एक रोज़ेदार को हेलमेट तोहफ़े में दिया साथ ही एक मीठी याद दिलाई रोज़ा हो या रोड दोनों में अनुशासन ज़रूरी है #UPPCares #HelmetHaiZaroori #Ramadan https://t.co/3EYySXys1q,1899464536375398788,https://pbs.twimg.com/ext_tw_video_thumb/1899464366535364608/pu/img/o7TxeVzuahm_S6dl.jpg,,hi,DGP HQs LUCKNOW,159,521,1972,https://x.com/Uppolice/status/1899464536375398788,1271749327,Uppolice
11.0,11.0,1898817155119890890,Sun Mar 09 19:24:22 +0000 2025,6130,🇪🇬 ️ ️ | En Égypte des chrétiens distribuent des repas aux musulmans pour l iftar à l approche de la rupture du jeûne pendant le ramadan. Un geste de solidarité qui dépasse les différences religieuses. https://t.co/3XLNsmYWPt,1898817155119890890,https://pbs.twimg.com/amplify_video_thumb/1898817097402028032/img/gthXO9RyQHa__Kgd.jpg,,fr,Arab Republic of Egypt,62,112,1003,https://x.com/EgyptNews_fr/status/1898817155119890890,1672721390695337987,EgyptNews_fr
12.0,12.0,1898791650979430556,Sun Mar 09 17:43:02 +0000 2025,2967,Praying Tahajjud before suhur is a life hack! This Ramadan even if once Stand before Allah with all of your problems all of your prayers and all of your aspirations. Pray for anything with firm belief. Wallahi you shall witness miracles with this act of ibadah. https://t.co/gs5koDRG60,1898791650979430556,https://pbs.twimg.com/media/Glnc8WVakAA7GpN.jpg,,en,World Wide,12,9,573,https://x.com/Al__Quraan/status/1898791650979430556,1230733029070397442,Al__Quraan
13.0,13.0,1898430490350350619,Sat Mar 08 17:47:54 +0000 2025,16647,Masjid Al Haram on 8th night of Ramadan! https://t.co/8qvjZJivdw,1898430490350350619,https://pbs.twimg.com/media/GliUdeaboAENCLb.jpg,,in,,176,75,3096,https://x.com/theholymosques/status/1898430490350350619,1247167916618858496,theholymosques
14.0,14.0,1899255118064656718,Tue Mar 11 00:24:41 +0000 2025,195, O Allah Owner of everything plz say yes to my all prayers and make me and my loved ones happy Ameen ️ Happy 10th Ramadan Morning https://t.co/HmqaCXUS5H,1899255118064656718,https://pbs.twimg.com/media/GluCdrqXUAAm8tI.jpg,,en,,0,188,99,https://x.com/Sana_Virk12/status/1899255118064656718,1027190277130387458,Sana_Virk12
15.0,15.0,1899626396952977706,Wed Mar 12 01:00:01 +0000 2025,161,White man is shamed by Muslims to stop eating during Ramadan https://t.co/n8vvXxn25I,1899626396952977706,https://pbs.twimg.com/ext_tw_video_thumb/1899452955926929408/pu/img/mBHZPCwzcnipr-0g.jpg,,en,Turn Notifications ON 🔔 🇺🇸,9,122,46,https://x.com/AntiWokeMemes/status/1899626396952977706,1446919010487095303,AntiWokeMemes
16.0,16.0,1899536939692576949,Tue Mar 11 19:04:32 +0000 2025,110,फिलिस्तीन के बच्चे भी बहुत हिम्मत वाले होते है सब्र करने वाले होते है! घर से लेकर स्कूल तक सब कुछ इसराइल ने तबाह कर दिया पर हर हाल में ये बच्चे जीना जानते है खुश रहना जानते है! मेरी दुआएं है इन बच्चों के साथ! #Palestina #Gaza #Ramadan https://t.co/IgS4kZWKKa,1899536939692576949,https://pbs.twimg.com/ext_tw_video_thumb/1899227725358911488/pu/img/xh-QBrBHyUZ8xvD0.jpg,,hi,India,1,6,33,https://x.com/s_afreen7/status/1899536939692576949,1326864599660986375,s_afreen7
17.0,17.0,1898677446217515074,Sun Mar 09 10:09:13 +0000 2025,30759,Look at the Ummah of RasulAllah ﷺ in Ramadan 2025! It is said that Saudi has never seen such crowd https://t.co/3fnCV2gpd0,1898677446217515074,https://pbs.twimg.com/amplify_video_thumb/1898677234409328640/img/0J6CvRnTLnHDcABB.jpg,,ca,,170,178,4682,https://x.com/aiishadahir/status/1898677446217515074,1084130057977769984,aiishadahir
18.0,18.0,1897966007127248999,Fri Mar 07 11:02:13 +0000 2025,7636,Ramadān is not the same for everyone. If you have anything to spare kindly check on those in need may Allah reward you as you do... https://t.co/H0W1CJTlKt,1897966007127248999,https://pbs.twimg.com/ext_tw_video_thumb/1897965964177612800/pu/img/ZkBMbvD7A2ivd8Vc.jpg,,en,,13,19,1106,https://x.com/7signxx/status/1897966007127248999,372705607,7signxx
19.0,19.0,1898214870677336371,Sat Mar 08 03:31:06 +0000 2025,25729,8th Ramadan prayer Ya Rabbi give jobs to the jobless ,1898214870677336371,,,en,,177,327,4438,https://x.com/Softgirlru/status/1898214870677336371,1767490295950635008,Softgirlru
20.0,20.0,1899153523465683211,Mon Mar 10 17:40:59 +0000 2025,6477,जमात-ए-इस्लामी हिन्द के जानिब से इफ़्तार का एहतमाम किया गया था जिसमे शिरकत कर वहाँ तमाम हाज़िरीन के साथ मिलकर बिहार और मुल्क के खुशहाली के लिए दुआ माँगी। ऐसे आयोजन गंगा-जमुनी तहज़ीब को पुख्ता करते हैं। #RJD #Ramadan #TejashwiYadav #india https://t.co/jPPa3JyN6B,1899153523465683211,https://pbs.twimg.com/media/GlsmCepWAAAYV3R.jpg,,hi,Patna,87,759,723,https://x.com/yadavtejashwi/status/1899153523465683211,2253148681,yadavtejashwi
21.0,21.0,1899407674225070560,Tue Mar 11 10:30:53 +0000 2025,7231,#Ramadan https://t.co/3G3O1760DX,1899407674225070560,https://pbs.twimg.com/media/GlwNNKZWoAAKAuJ.jpg,,qme,Kingdom of Saudi Arabia,10,13,514,https://x.com/insharifain/status/1899407674225070560,3200376049,insharifain
22.0,22.0,1898939172708081860,Mon Mar 10 03:29:14 +0000 2025,11460,If you stopped it because of Ramadan may Allah distance you from it forever if you started it because of Ramadan May Allah strengthen you to sustain it beyond Ramadan . Aameen ,1898939172708081860,,,en,"Lagos, Nigeria",54,102,2953,https://x.com/Morayo_GO/status/1898939172708081860,1500581034802438144,Morayo_GO
23.0,23.0,1898685354950991894,Sun Mar 09 10:40:39 +0000 2025,386,🇬🇧 Let's check in on Birmingham and how the holy month of Ramadan is going. https://t.co/lsA1cb4QQV,1898685354950991894,https://pbs.twimg.com/ext_tw_video_thumb/1898685325569908736/pu/img/o5KyLmS3UAROq5cx.jpg,,en,,19,90,348,https://x.com/Nuked4Every1/status/1898685354950991894,1716845849349607424,Nuked4Every1
24.0,24.0,1898291977256599840,Sat Mar 08 08:37:30 +0000 2025,2991,Buat fresh graduate yang belum dapet kerja pas Ramadan bisa banget nyoba remote job di beberapa situs ini https://t.co/KiJ8NSsoJ5,1898291977256599840,https://pbs.twimg.com/media/GlgWfCdbIAA8IcV.jpg,,in,indonesia,1,410,634,https://x.com/echachaa__/status/1898291977256599840,1124537245061369857,echachaa__
25.0,25.0,1899170730358772013,Mon Mar 10 18:49:21 +0000 2025,1011,I m delighted to break fast with Peshmerga in the Kirkuk front and Kurdish farmers of the area. I wish everyone good health during this month of Ramadan and may our Kurdistan remain safe and prosperous. https://t.co/cGTZ4xMgIx,1899170730358772013,https://pbs.twimg.com/amplify_video_thumb/1899170654936584192/img/M_LQxdx1Px12_UC5.jpg,,en,"Kurdistan Region, Iraq",10,41,118,https://x.com/masrourbarzani/status/1899170730358772013,518784680,masrourbarzani
26.0,26.0,1899070277050384891,Mon Mar 10 12:10:11 +0000 2025,32261,This Ramadan May your JOB APPLICATIONS be approved so that you can change your situation.,1899070277050384891,,,en,,520,391,7933,https://x.com/aiishadahir/status/1899070277050384891,1084130057977769984,aiishadahir
