tweet_clean,Tweet,sentiment,sentiment_scores,neg,neu,pos,compound
"['abraj', 'al', 'bait', 'clock', 'tower', 'beams', 'indicating', 'commencement', 'ramadan']",abraj al bait clock tower beams indicating commencement ramadan,negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"['accounts', 'recognised', 'ramadan', 'none', 'recognised', 'beginning', 'lent', 'even', 'nod', 'pancakes', 'shrove', 'tuesday', 'britain', 'christian', 'country', 'wake', 'britons', 'everything', 'attack']",accounts recognised ramadan none recognised beginning lent even nod pancakes shrove tuesday britain christian country wake britons everything attack,negative,"{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.4767}",0.147,0.853,0.0,-0.4767
"['admin', 'post', 'peaceful', 'ramadan', 'celebrations', 'east', 'london', 'last', 'night']",admin post peaceful ramadan celebrations east london last night,positive,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.4939}",0.0,0.714,0.286,0.4939
"['admin', 'post', 'ramadan', 'norway']",admin post ramadan norway,negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"['admin', 'post', 'ramadan', 'usual', 'peaceful', 'start', 'england s', 'second', 'largest', 'city', 'birmingham']",admin post ramadan usual peaceful start england s second largest city birmingham,positive,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4939}",0.0,0.775,0.225,0.4939
"['alfas', 'inside', 'mega', 'chicken', 'afternoon', 'ramadan']",alfas inside mega chicken afternoon ramadan,negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
"['alhamdulillah', 'every', 'lesson', 'every', 'prayer', 'brings', 'closer', 'peace', 'sacred', 'month', 'ramadan', 'find', 'renewed', 'hope', 'inspiration', 'forever', 'thankful', 'almighty', 'allah s', 'light', 'guides']",alhamdulillah every lesson every prayer brings closer peace sacred month ramadan find renewed hope inspiration forever thankful almighty allah s light guides,positive,"{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.926}",0.0,0.571,0.429,0.926
"['allah', 'forgive', 'us', 'sins', 'past', 'future', 'public', 'private', 'knowingly', 'unknowingly', 'major', 'minor', 'welcome', 'ramadan', '']",allah forgive us sins past future public private knowingly unknowingly major minor welcome ramadan,positive,"{'neg': 0.155, 'neu': 0.568, 'pos': 0.278, 'compound': 0.3353}",0.155,0.568,0.278,0.3353
"['allah', 'help', 'brothers', 'gaza', 'lift', 'siege', 'brothers', 'despite', 'israeli', 'restrictions', 'palestinians', 'performed', 'taraweeh', 'prayers', 'evening', 'alaqsamosque', 'ramadan']",allah help brothers gaza lift siege brothers despite israeli restrictions palestinians performed taraweeh prayers evening alaqsamosque ramadan,positive,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4019}",0.0,0.856,0.144,0.4019
"['allah', 'help', 'us', 'al-aqsa', 'prisons', 'oppressors', 'gaza', 'west', 'bank', 'complain', 'weakness', 'despite', 'israeli', 'restrictions', 'palestinians', 'performed', 'taraweeh', 'prayers', 'evening', 'alaqsamosque', 'ramadan']",allah help us al-aqsa prisons oppressors gaza west bank complain weakness despite israeli restrictions palestinians performed taraweeh prayers evening alaqsamosque ramadan,negative,"{'neg': 0.204, 'neu': 0.692, 'pos': 0.104, 'compound': -0.3818}",0.204,0.692,0.104,-0.3818
